date,time,street0,street1,location-notes,longitude,lattitude,total-fatality,total-injury,pedestrian-fatality,pedestrian-injury,bicycle-fatality,bicyle-injury,source,links,notes,entry-method
2021-12-24,11:00,E MAIN ST,24TH AVE,Intersection/URBAN MINOR ARTERIAL,-122.958043304,45.5210194815,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-05-11,10:00,SW WALKER RD,SW 158TH AVE,Straight Roadway/URBAN MINOR ARTERIAL,-122.838323065,45.5164032268,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-12-08,08:00,SW DAIRY CREEK RD,SW OLIVER HILL RD,Curve (horizontal curve)/RURAL MAJOR COLLECTOR,-123.066343796,45.6760461872,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-08-07,11:00,SW MURRAY BLVD,SW WALKER RD,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.823508865,45.5090548364,0,1,0,0,0,1,ODOT,,,extract-odot.py
2021-09-08,15:00,OR 219,MP 13.87,Grade (vertical curve)/RURAL MINOR ARTERIAL,-122.961166803,45.3588826228,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-07-28,15:00,OR 219,MP 2.78,Intersection/RURAL MINOR ARTERIAL,-122.992287137,45.4803436881,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-05-25,12:00,SE TUALATIN VALLEY HY,SE 75TH AVE,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.905158091,45.4977845868,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-06-07,05:00,NW CORNELIUS PASS RD,NW JACOBSON RD,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.895724219,45.5639049317,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-12-09,17:00,SW 175TH AVE,SW BARROWS RD,Straight Roadway/URBAN MINOR ARTERIAL,-122.856839337,45.432719951,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-06-03,17:00,SW GRABHORN RD,SW INVERNESS WY,Straight Roadway/URBAN MAJOR COLLECTOR,-122.888126322,45.4514727541,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-11-07,13:00,SW STEPIEN RD,SW SCOGGINS VALLEY RD,Curve (horizontal curve)/RURAL LOCAL,-123.236496343,45.5043441193,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-02-02,11:00,SW 185TH AVE,SW STEPPING STONE DR,Driveway or Alley/URBAN PRINCIPAL ARTERIAL - OTHER,-122.867462898,45.514419541,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-08-13,21:00,OR 6,MP 40.37,Grade (vertical curve)/RURAL MINOR ARTERIAL,-123.267900203,45.6320799703,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-11-17,12:00,SE 25TH CT,SE RIVER RD,Intersection/URBAN MINOR ARTERIAL,-122.956806708,45.5014375281,0,5,0,0,0,0,ODOT,,,extract-odot.py
2021-11-29,15:00,SW HALL BLVD,SW ALLEN BLVD,Driveway or Alley/URBAN MINOR ARTERIAL,-122.805520648,45.4768224102,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-06-13,14:00,PACIFIC HY I-5,SB EX E PTLND FY,Straight Roadway/URBAN PRINCIPAL ARTERIAL - INTERSTATE,-122.755069858,45.3768638182,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-11-24,17:00,SB EF E PTLND FY C1,PACIFIC HY I-5,Curve (horizontal curve)/URBAN PRINCIPAL ARTERIAL - INTERSTATE,-122.760849106,45.3631594118,0,4,0,0,0,0,ODOT,,,extract-odot.py
2021-03-20,03:00,SW CANYON RD,SW WALKER RD,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.779710049,45.4934147605,0,1,0,1,0,0,ODOT,,,extract-odot.py
2021-05-31,13:00,OR 127,MP 5.86,Straight Roadway/RURAL MINOR ARTERIAL,-122.876046607,45.5796283465,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-08-19,08:00,OR 8,MP 6.29,Driveway or Alley/URBAN PRINCIPAL ARTERIAL - OTHER,-122.861072197,45.4932008708,0,3,0,0,0,0,ODOT,,,extract-odot.py
2021-03-27,20:00,SW ELWERT RD,SW EDY RD,Straight Roadway/URBAN MAJOR COLLECTOR,-122.867789007,45.3666674376,0,3,0,0,0,0,ODOT,,,extract-odot.py
2021-04-06,15:00,SW TUALATIN-SHERWOOD,SW GERDA LN,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.822581439,45.3679281775,0,4,0,0,0,0,ODOT,,,extract-odot.py
2021-12-02,17:00,SW BEAV-TIGARD HY,SB EXTO WALKER RD C1,Grade (vertical curve)/URBAN PRINCIPAL ARTERIAL - OTHER FREEWAYS AND EXP,-122.789524247,45.5003383457,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-08-04,20:00,NW PHILLIPS RD,NW DICK RD,Grade (vertical curve)/RURAL MAJOR COLLECTOR,-122.89685672,45.5920891124,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-05-14,21:00,SW MURRAY BLVD,SW WEIR RD,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.826054646,45.4476238636,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-05-14,16:00,SE CENTURY BLVD,SE JOHNSON ST,Intersection/URBAN MAJOR COLLECTOR,-122.917009255,45.5006481853,0,4,0,0,0,0,ODOT,,,extract-odot.py
2021-05-29,17:00,NW KAISER RD,NW MITCHELL ST,Intersection/URBAN MAJOR COLLECTOR,-122.830206088,45.5510433826,0,1,0,0,0,1,ODOT,,,extract-odot.py
2021-11-12,12:00,OR 99W,MP 13.34,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.81735167,45.3843103705,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-04-17,13:00,SW CASCADE AVE,SW SCHOLLS FERRY RD,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.786115886,45.4496748345,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-08-14,12:00,US 26,MP 52.62,Intersection/RURAL PRINCIPAL ARTERIAL - OTHER,-123.079095331,45.6217457739,0,3,0,0,0,0,ODOT,,,extract-odot.py
2021-09-09,18:00,SW BONNIE BRAE ST,SW MURRAY BLVD,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.826087756,45.4785488416,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-11-21,10:00,OR 219,MP 2.29,Straight Roadway/RURAL MINOR ARTERIAL,-122.991055814,45.4872814019,0,3,0,0,0,0,ODOT,,,extract-odot.py
2021-09-25,20:00,SW HART RD,SW MURRAY BLVD,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.826003305,45.4656736771,0,1,0,1,0,0,ODOT,,,extract-odot.py
2021-12-27,11:00,OR 47,MP 21.65,Straight Roadway/URBAN MINOR ARTERIAL,-123.124449769,45.4893408746,0,3,0,0,0,0,ODOT,,,extract-odot.py
2021-06-04,15:00,SW FARMINGTON RD,SW 148TH AVE,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.827717465,45.4856417183,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-12-01,06:00,NW MC KIBBIN RD,NW VERBOORT RD,Intersection/RURAL MINOR ARTERIAL,-123.097801479,45.5477070473,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-12-31,14:00,SW FARMINGTON RD,SW ROOD BRIDGE RD,Curve (horizontal curve)/RURAL MINOR ARTERIAL,-122.962038688,45.4522760279,1,0,0,0,0,0,ODOT,,,extract-odot.py
2021-10-05,11:00,SE BASELINE ST,SE 8TH AVE,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.9772815,45.5200234292,0,1,0,1,0,0,ODOT,,,extract-odot.py
2021-08-04,13:00,OR 6,MP 41.73,Driveway or Alley/RURAL MINOR ARTERIAL,-123.250940742,45.6176205937,0,6,0,0,0,0,ODOT,,,extract-odot.py
2021-12-19,00:00,SUNSET HWY,WB EX-EN CANYON RD,Grade (vertical curve)/URBAN PRINCIPAL ARTERIAL - OTHER FREEWAYS AND EXP,-122.745057985,45.5075585439,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-07-26,06:00,OR 6,MP 33.5,Straight Roadway/RURAL MINOR ARTERIAL,-123.3690705,45.6286072317,1,4,0,0,0,0,ODOT,,,extract-odot.py
2021-05-13,08:00,22ND AVE,MAPLE ST,Straight Roadway/URBAN MAJOR COLLECTOR,-123.089978741,45.5223461691,0,1,0,1,0,0,ODOT,,,extract-odot.py
2021-09-22,15:00,SE CENTURY BLVD,SE MAPLE ST,Straight Roadway/URBAN MAJOR COLLECTOR,-122.914604033,45.5150953269,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-04-21,09:00,SW BEAV-HILLSDALE HY,SW WHITE PINE LN,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.769151725,45.486391694,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-12-05,23:00,NW HIGHLAND CT,NW 1ST ST/GLENCOE RD,Intersection/RURAL MINOR ARTERIAL,-122.995933015,45.5924230288,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-09-17,17:00,NW JARRELL RD,NW SOLBERGER RD,Curve (horizontal curve)/RURAL LOCAL,-122.94076829,45.6404669833,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-12-02,13:00,NW WREN RD,NW GLENCOE RD,Curve (horizontal curve)/RURAL MAJOR COLLECTOR,-123.010938595,45.5624677965,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-04-29,16:00,NW LAIDLAW RD,NW WEST UNION RD,Intersection/URBAN MINOR ARTERIAL,-122.852778537,45.5536979046,0,1,0,0,0,1,ODOT,,,extract-odot.py
2021-10-30,22:00,NE BUTLER ST,NW CORNELIUS PASS RD,Intersection/URBAN MINOR ARTERIAL,-122.900235057,45.5379527562,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-02-05,05:00,NW EVERGREEN PKY,NW 229TH AVE,Intersection/URBAN MAJOR COLLECTOR,-122.909896505,45.5503825234,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-04-10,12:00,NW CORNELIUS PASS RD,EB ENFR CRNLS PS NB,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.900594513,45.5530696749,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-04-24,14:00,OR 99W,MP 16.7,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.867998252,45.3526832556,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-02-05,08:00,SW PACIFIC HY 99W,SB EX PAC HY 1W C1,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.762451624,45.4349058223,0,3,0,0,0,0,ODOT,,,extract-odot.py
2021-08-13,17:00,SW GRABHORN RD,SW FARMINGTON RD,Curve (horizontal curve)/URBAN MAJOR COLLECTOR,-122.892114057,45.4657536016,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-08-13,16:00,SE BASELINE ST,SE 5TH AVE,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.982606069,45.5200672742,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-03-27,23:00,SW FARMINGTON RD,SW HALL BLVD,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.804009072,45.486928681,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-05-15,18:00,SW PACIFIC HY 99W,SW WALNUT ST,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.778318626,45.4269195642,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-12-12,03:00,SW BURNHAM ST,SW HALL BLVD,Intersection/URBAN MINOR ARTERIAL,-122.766168554,45.4264759537,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-11-02,17:00,W BASELINE RD,SW CORNELIUS PASS RD,Intersection/URBAN MINOR ARTERIAL,-122.901035083,45.5153041074,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-02-26,11:00,SW 209TH AVE,SW INDUSTRIAL WAY,Straight Roadway/URBAN MINOR ARTERIAL,-122.891734078,45.4956101006,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-07-15,15:00,SW LAURELWOOD RD,SW SARA DR,Curve (horizontal curve)/RURAL MAJOR COLLECTOR,-123.088520364,45.4246968235,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-11-08,15:00,SW HALL BLVD,SW AVON ST,Driveway or Alley/URBAN MINOR ARTERIAL,-122.764544649,45.4049586862,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-10-09,19:00,SW 135TH AVE,SW BRITTANY DR,Straight Roadway/URBAN MAJOR COLLECTOR,-122.815701325,45.4368770395,0,1,0,1,0,0,ODOT,,,extract-odot.py
2021-07-26,06:00,SUNSET HWY,EB EXTO CEDAR HILLS,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER FREEWAYS AND EXP,-122.800453035,45.5164225312,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-12-25,02:00,SW TUALATIN VALLEY HY,NB EF TUAL-VLY HY,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.791330496,45.4909473959,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-01-06,23:00,SW ALLEN BLVD,SW 130TH AVE,Straight Roadway/URBAN MINOR ARTERIAL,-122.810711085,45.4764880418,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-02-02,06:00,NW SCIENCE PARK DR,NW CORNELL RD,Curve (horizontal curve)/URBAN MAJOR COLLECTOR,-122.825996962,45.5275800159,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-04-09,21:00,SUNSET HWY,WB EXTO CORNELL,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER FREEWAYS AND EXP,-122.832186802,45.5286689364,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-05-11,10:00,S 1ST AVE,WASHINGTON ST,Straight Roadway/URBAN MINOR ARTERIAL,-122.989799728,45.5211955056,1,0,0,0,0,0,ODOT,,,extract-odot.py
2021-07-31,18:00,NW GREENVILLE RD,NW ROY RD,Intersection/RURAL MAJOR COLLECTOR,-123.082293233,45.5926779592,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-07-01,13:00,OR 8,MP 7.37,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.883110213,45.4954989476,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-09-01,10:00,SW TUALATIN VALLEY HY,SB EX BEAV-HLLSD C2,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.793014073,45.490375844,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-12-19,11:00,SW ST VINCENT MED CTR,SW BARNES RD,Intersection/URBAN MINOR ARTERIAL,-122.775426347,45.5099704189,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-07-22,12:00,SW GRABHORN RD,SW TREMONT WY,Intersection/URBAN MAJOR COLLECTOR,-122.88809898,45.4592245729,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-06-09,17:00,NEHALEM,MP 89.99,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-123.087549578,45.5284739817,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-11-09,11:00,SW TUALATIN-SHERWOOD,SW 89TH AVE,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.767700794,45.3811912905,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-02-19,04:00,SW BASELINE ST,W MAIN ST,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-123.00270377,45.5199862175,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-10-14,14:00,SW JENKINS RD,SW BRIGGS RD,Straight Roadway/URBAN MINOR ARTERIAL,-122.820406937,45.5022525368,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-12-26,22:00,NE CORNELIUS PASS RD,NE SABO ST,Straight Roadway/URBAN MINOR ARTERIAL,-122.900012083,45.5251698129,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-11-10,20:00,SW TUALATIN VALLEY HY,SW 139TH WAY,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.820144835,45.4889486242,0,1,0,1,0,0,ODOT,,,extract-odot.py
2021-12-01,09:00,SE SPRUCE ST,SE 18TH AVE,Straight Roadway/URBAN LOCAL,-122.964354483,45.5114509765,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-08-06,13:00,OR 47,MP 19.96,Intersection/URBAN MINOR ARTERIAL,-123.115528452,45.5026077275,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-07-13,07:00,OR 47,MP 19.96,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-123.115525332,45.5026162101,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-07-21,23:00,NW IMBRIE DR,NW EVERGREEN PKY,Driveway or Alley/URBAN MAJOR COLLECTOR,-122.904805843,45.5501958823,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-06-08,09:00,SW FRANCES ST,SE 67TH AVE,Intersection/URBAN MAJOR COLLECTOR,-122.911753084,45.5086841482,0,1,0,0,0,1,ODOT,,,extract-odot.py
2021-04-15,13:00,SW BARCELONA WAY,SW 170TH AVE,Driveway or Alley/URBAN LOCAL,-122.852314995,45.4699702152,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-10-30,16:00,BROOKWOOD PKY,EB EF BROOKWD PKY C3,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER FREEWAYS AND EXP,-122.926196883,45.5631302518,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-11-04,20:00,US 26,MP 42.0,Straight Roadway/RURAL PRINCIPAL ARTERIAL - OTHER,-123.238449374,45.7194943628,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-05-10,10:00,SB BEAV-TIGARD HY,PACIFIC HY I-5,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER FREEWAYS AND EXP,-122.744360956,45.4176834114,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-01-14,22:00,NW WREN RD,NW LEISY RD,Straight Roadway/RURAL MAJOR COLLECTOR,-123.018997608,45.5616242253,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-10-18,17:00,NW BURTON ST,NW SALTZMAN RD,Intersection/URBAN MINOR ARTERIAL,-122.812089865,45.5368563411,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-05-17,11:00,US 26,MP 51.17,Straight Roadway/RURAL PRINCIPAL ARTERIAL - OTHER,-123.103741682,45.6336011124,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-12-25,20:00,OR 47,MP 20.37,Intersection/URBAN MINOR ARTERIAL,-123.119911932,45.4975498103,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-11-21,12:00,SW BASELINE ST,SW 17TH AVE,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-123.008788894,45.5199667187,0,4,0,0,0,0,ODOT,,,extract-odot.py
2021-07-22,18:00,SUNSET HWY,WB EXTO MURRAY BLVD,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER FREEWAYS AND EXP,-122.811093226,45.5206209276,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-10-17,15:00,US 26,MP 48.5,Straight Roadway/RURAL PRINCIPAL ARTERIAL - OTHER,-123.149046673,45.6541440877,1,3,0,0,0,0,ODOT,,,extract-odot.py
2021-12-28,14:00,SW AEBISCHER RD,SW KRUGER RD,Grade (vertical curve)/RURAL MINOR COLLECTOR,-122.907099466,45.3606125472,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-07-08,13:00,NW BETHANY BLVD,NW WEST UNION RD,Intersection/URBAN MINOR ARTERIAL,-122.838794243,45.5443525892,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-02-03,08:00,OR 6,MP 37.31,Grade (vertical curve)/RURAL MINOR ARTERIAL,-123.307348096,45.6545497583,1,0,0,0,0,0,ODOT,,,extract-odot.py
2021-06-14,16:00,OR 219,MP 5.54,Intersection/RURAL MINOR ARTERIAL,-122.984571323,45.441862975,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-11-11,10:00,OR 10,MP 2.75,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.756977432,45.4861848809,0,1,0,1,0,0,ODOT,,,extract-odot.py
2021-03-29,09:00,E MAIN ST,SE 33RD AVE,Straight Roadway/URBAN MINOR ARTERIAL,-122.946997488,45.5199333992,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-05-23,18:00,SW BEEF BEND RD,SW ROY ROGERS RD,Intersection/URBAN MINOR ARTERIAL,-122.851880531,45.4004622284,0,4,0,0,0,0,ODOT,,,extract-odot.py
2021-09-28,12:00,SW HALL BLVD,SW CRESMOOR DR,Grade (vertical curve)/URBAN MINOR ARTERIAL,-122.803612191,45.4644903656,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-05-15,13:00,OR 6,MP 41.73,Driveway or Alley/RURAL MINOR ARTERIAL,-123.250938773,45.6176249663,0,3,0,0,0,0,ODOT,,,extract-odot.py
2021-12-27,16:00,NW MARTIN RD,NW E MARTIN RD,Straight Roadway/RURAL MINOR ARTERIAL,-123.07331744,45.5440748962,0,7,0,0,0,0,ODOT,,,extract-odot.py
2021-06-20,16:00,NE BUTLER ST,NE SHUTE RD,Intersection/URBAN MAJOR COLLECTOR,-122.926093014,45.5381432227,0,2,0,0,0,0,ODOT,,,extract-odot.py
2021-10-05,17:00,US 26,MP 44.68,Grade (vertical curve)/RURAL PRINCIPAL ARTERIAL - OTHER,-123.209772442,45.6894528139,0,1,0,0,0,0,ODOT,,,extract-odot.py
2021-06-19,17:00,SW ROOD BRIDGE RD,SW LARSON RD,Curve (horizontal curve)/RURAL MAJOR COLLECTOR,-122.955156129,45.4671820164,1,0,0,0,0,0,ODOT,,,extract-odot.py
2021-10-31,13:00,NE CORNELL RD,NE BROOKWOOD PKY,Driveway or Alley/URBAN PRINCIPAL ARTERIAL - OTHER,-122.936485496,45.5330564568,0,3,0,0,0,0,ODOT,,,extract-odot.py
2021-04-12,21:00,US 26,MP 38.05,Straight Roadway/RURAL PRINCIPAL ARTERIAL - OTHER,-123.293421774,45.7583788476,0,10,0,0,0,0,ODOT,,,extract-odot.py
